书名,相关信息,评分
活着,余华 / 作家出版社 / 2012-8-1 / 20.00元,9.4
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10-20 / 59.00元,9.0
百年孤独,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.2
小王子,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,9.0
红楼梦,[清] 曹雪芹 著 / 高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元,9.6
追风筝的人,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.9
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,9.0
白夜行,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,9.1
房思琪的初恋乐园,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元,9.2
围城,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,8.9
飘,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,9.3
1984,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,9.3
解忧杂货店,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.5
三体,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,8.8
呼吸,[美] 特德·姜 / 耿辉 / Ent / 李克勤 / 姚向辉 / 译林出版社 / 2019-12 / 42,8.7
三体Ⅱ,刘慈欣 / 重庆出版社 / 2008-5 / 32.00,9.3
杀死一只知更鸟,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,9.2
月亮与六便士,[英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元,8.8
局外人,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,9.0
平凡的世界（全三部）,路遥 / 人民文学出版社 / 2005-1 / 64.00元,9.0
嫌疑人X的献身,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9
撒哈拉的故事,三毛 / 皇冠出版社 / 1976 / 160 TWD,9.0
许三观卖血记,余华 / 南海出版公司 / 1998-9 / 16.80元,8.8
我们仨,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,8.7
三体Ⅲ,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,9.2
围城,钱钟书 / 人民文学出版社 / 1991-2-1 / 39.00元,9.3
红楼梦,曹雪芹 / 人民文学出版社 / 2018-1-1 / CNY 260.00,9.9
万历十五年,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,8.9
明朝那些事儿（壹）,当年明月 / 中国友谊出版公司 / 2006-9 / 24.80,8.7
人间失格,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009-9 / 16.00元,8.3
傲慢与偏见,[英] 奥斯丁 / 张玲 / 张扬 / 人民文学出版社 / 1993-7 / 13.00元,8.8
三国演义（全二册）,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.2
鼠疫,(法)阿尔贝·加缪 / 刘方 / 上海译文出版社 / 2013-8 / 34.00元,9.1
呐喊,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,8.9
边城,沈从文 / 黄永玉 卓雅 插图. / 北岳文艺出版社 / 2002-4 / 12.00元,8.6
城南旧事,林海音 文 / 关维兴 图 / 中国青年出版社 / 2003-7 / 16.00元,9.0
白夜行,东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,9.2
动物农场,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.2
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,9.0
沉默的大多数,王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1
骆驼祥子,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,8.4
血疫,[美] 理查德·普雷斯顿 / 姚向辉 / 上海译文出版社 / 2016-3 / 45.00元,8.7
哈利·波特与魔法石,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,9.1
东方快车谋杀案,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.0
一只特立独行的猪,王小波 / 北方文艺出版社 / 2006-4 / 18.80元,8.8
恶意,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00,8.4
狂人日记,鲁迅 / 京华出版社 / 2006-3 / 39.80元,8.7
不能承受的生命之轻,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,8.5
窗边的小豆豆,[日] 黑柳彻子 著 / 岩崎千弘 图 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.7
肖申克的救赎,[美] 斯蒂芬·金 / 施寄青 / 赵永芬 / 齐若兰 / 人民文学出版社 / 2006-7 / 29.90元,9.1
巴黎圣母院,雨果 / 李玉民 / 上海文艺出版社 / 2007-7-1 / 25.00元,8.9
黄金时代,王小波 / 花城出版社 / 1999-3 / 19.00元,8.8
阿Q正传,鲁迅 著 / 丰子恺 绘 / 上海书店出版社 / 2003-7 / 14.50元,8.7
天才在左 疯子在右,高铭 / 武汉大学出版社 / 2010-2 / 29.80元,8.1
简爱（英文全本）,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,8.5
一个陌生女人的来信,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7
挪威的森林,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,8.0
东方快车谋杀案,[英]阿加莎·克里斯蒂 / 郑桥 / 新星出版社 / 2013-4 / 26.00元,8.9
老人与海,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,8.4
我与地坛,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,9.0
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,8.6
白鹿原,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,8.7
了不起的盖茨比,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,8.4
建筑师,(美) 大卫·马祖凯利 / 艾琦 / 北京联合出版公司 / 2019-3 / 198.00元,9.2
朝花夕拾,鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元,8.8
刀锋,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,9.0
天龙八部,金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0,9.1
基督山伯爵,大仲马 / 周克希 / 韩沪麟 / 上海译文出版社 / 1991-12-1 / 43.90元,9.0
瓦尔登湖,[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元,8.4
呼啸山庄,（英）勃朗特 / 张玲 / 张扬 / 张扬 / 张玲 / 人民文学出版社 / 1999-01-01 / 27.30元,8.4
罗生门,[日]芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,8.7
巨人的陨落,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,8.9
寂寞的游戏,袁哲生 / 北京联合出版公司 / 2017-9 / 38.00元,8.4
倾城之恋,花城出版社 / 1997-3-1 / 11.00,8.5
三国演义,罗贯中 / 岳麓书社 / 1986-6-1 / 13.0,9.4
克莱因壶,[日]冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元,8.9
爱你就像爱生命,王小波 / 李银河 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8
悲惨世界,[法] 雨果 / 李丹 / 方于 / 人民文学出版社 / 2015-6 / 110.00元,9.5
